query,intent,serp_features
best office chair,commercial,"reviews,people_also_ask"
robot vacuum in Utrecht,local,local_pack
contact x,navigational,sitelinks
buy coffee machine in Den Haag,local,"local_pack,shopping_ads"
gaming laptop in Rotterdam,local,local_pack
office chair price,transactional,shopping_ads
start a business guide,informational,people_also_ask
coffee machine near me,local,local_pack
netflix login,navigational,sitelinks
gaming laptop in Den Haag,local,local_pack
office chair nearby,local,local_pack
iphone 15 in Eindhoven,local,local_pack
how to lose weight,informational,"featured_snippet,people_also_ask"
protein powder discount,transactional,shopping_ads
coffee machine discount,transactional,shopping_ads
what is learn python,informational,featured_snippet
buy electric bike in Amsterdam,local,"local_pack,shopping_ads"
order protein powder online,transactional,"shopping_ads,product_listings"
iphone 15 nearby,local,local_pack
iphone 15 in Rotterdam,local,local_pack
robot vacuum nearby,local,local_pack
buy iphone 15 in Nijmegen,local,"local_pack,shopping_ads"
buy iphone 15 in Arnhem,local,"local_pack,shopping_ads"
buy gaming laptop in Den Haag,local,"local_pack,shopping_ads"
iphone 15 in Arnhem,local,local_pack
airpods pro in Eindhoven,local,local_pack
order gaming laptop online,transactional,"shopping_ads,product_listings"
contact linkedin,navigational,sitelinks
buy airpods pro in Groningen,local,"local_pack,shopping_ads"
contact spotify,navigational,sitelinks
buy gaming laptop in Arnhem,local,"local_pack,shopping_ads"
running shoes in my area,local,local_pack
what is invest in stocks,informational,featured_snippet
airpods pro comparison,commercial,people_also_ask
buy wireless headphones in Arnhem,local,"local_pack,shopping_ads"
iphone 15 comparison,commercial,people_also_ask
buy gaming laptop in Eindhoven,local,"local_pack,shopping_ads"
wireless headphones price,transactional,shopping_ads
protein powder in Arnhem,local,local_pack
buy gaming laptop in Rotterdam,local,"local_pack,shopping_ads"
buy running shoes in Arnhem,local,"local_pack,shopping_ads"
buy airpods pro in Utrecht,local,"local_pack,shopping_ads"
buy iphone 15 in Den Haag,local,"local_pack,shopping_ads"
buy robot vacuum in Amsterdam,local,"local_pack,shopping_ads"
how to invest in stocks,informational,"featured_snippet,people_also_ask"
gaming laptop in my area,local,local_pack
gaming laptop discount,transactional,shopping_ads
buy gaming laptop in Utrecht,local,"local_pack,shopping_ads"
iphone 15 in my area,local,local_pack
buy wireless headphones,transactional,"shopping_ads,product_listings"
airpods pro in Amsterdam,local,local_pack
buy wireless headphones in Utrecht,local,"local_pack,shopping_ads"
contact instagram,navigational,sitelinks
iphone 15 in Groningen,local,local_pack
best airpods pro,commercial,"reviews,people_also_ask"
electric bike in Utrecht,local,local_pack
buy protein powder in Den Haag,local,"local_pack,shopping_ads"
best running shoes,commercial,"reviews,people_also_ask"
gaming laptop review,commercial,reviews
buy office chair in Utrecht,local,"local_pack,shopping_ads"
buy office chair in Eindhoven,local,"local_pack,shopping_ads"
best gaming laptop,commercial,"reviews,people_also_ask"
buy office chair in Groningen,local,"local_pack,shopping_ads"
buy electric bike in Den Haag,local,"local_pack,shopping_ads"
buy robot vacuum in Groningen,local,"local_pack,shopping_ads"
robot vacuum comparison,commercial,people_also_ask
best coffee machine,commercial,"reviews,people_also_ask"
buy coffee machine in Arnhem,local,"local_pack,shopping_ads"
running shoes near me,local,local_pack
how to change a tire,informational,"featured_snippet,people_also_ask"
facebook login,navigational,sitelinks
running shoes in Groningen,local,local_pack
buy wireless headphones in Groningen,local,"local_pack,shopping_ads"
x login,navigational,sitelinks
buy running shoes in Eindhoven,local,"local_pack,shopping_ads"
buy protein powder in Utrecht,local,"local_pack,shopping_ads"
electric bike vs alternatives,commercial,people_also_ask
coffee machine review,commercial,reviews
coffee machine in Groningen,local,local_pack
linkedin login,navigational,sitelinks
running shoes vs alternatives,commercial,people_also_ask
protein powder price,transactional,shopping_ads
running shoes in Eindhoven,local,local_pack
robot vacuum discount,transactional,shopping_ads
buy wireless headphones in Nijmegen,local,"local_pack,shopping_ads"
robot vacuum in Eindhoven,local,local_pack
protein powder comparison,commercial,people_also_ask
running shoes in Arnhem,local,local_pack
buy airpods pro in Den Haag,local,"local_pack,shopping_ads"
buy office chair in Den Haag,local,"local_pack,shopping_ads"
airpods pro in my area,local,local_pack
linkedin customer service,navigational,sitelinks
electric bike in Amsterdam,local,local_pack
buy gaming laptop in Amsterdam,local,"local_pack,shopping_ads"
contact paypal,navigational,sitelinks
running shoes review,commercial,reviews
protein powder in Nijmegen,local,local_pack
buy electric bike in Groningen,local,"local_pack,shopping_ads"
order robot vacuum online,transactional,"shopping_ads,product_listings"
buy protein powder in Nijmegen,local,"local_pack,shopping_ads"
best iphone 15,commercial,"reviews,people_also_ask"
buy robot vacuum,transactional,"shopping_ads,product_listings"
buy electric bike in Arnhem,local,"local_pack,shopping_ads"
instagram customer service,navigational,sitelinks
wireless headphones in Arnhem,local,local_pack
protein powder in Eindhoven,local,local_pack
office chair in Amsterdam,local,local_pack
buy office chair in Nijmegen,local,"local_pack,shopping_ads"
buy coffee machine in Amsterdam,local,"local_pack,shopping_ads"
buy electric bike in Nijmegen,local,"local_pack,shopping_ads"
buy iphone 15 in Groningen,local,"local_pack,shopping_ads"
robot vacuum in Groningen,local,local_pack
buy airpods pro in Eindhoven,local,"local_pack,shopping_ads"
office chair near me,local,local_pack
running shoes in Utrecht,local,local_pack
